Timestamp,Open,High,Low,Close,Volume,|,Date,Direction,Amplitude
1685875740000,27212.1,27213.5,27212.1,27213.5,0.03813688,|,2023-06-04 18:49:00,1.4000000000014552,1.4000000000014552
1685875680000,27214.3,27214.4,27211.8,27212.0,0.23237178,|,2023-06-04 18:48:00,-2.2999999999992724,2.600000000002183
1685875620000,27204.8,27214.7,27204.8,27214.4,1.34988806,|,2023-06-04 18:47:00,9.600000000002183,9.900000000001455
1685875560000,27204.8,27204.9,27204.8,27204.9,0.07190823,|,2023-06-04 18:46:00,0.10000000000218279,0.10000000000218279
1685875500000,27204.9,27204.9,27204.8,27204.9,0.27869447,|,2023-06-04 18:45:00,0.0,0.10000000000218279
1685875440000,27204.5,27204.9,27204.5,27204.8,0.20945815,|,2023-06-04 18:44:00,0.2999999999992724,0.4000000000014552
1685875380000,27212.4,27212.5,27204.5,27205.2,0.8575309,|,2023-06-04 18:43:00,-7.200000000000728,8.0
1685875320000,27212.5,27212.6,27212.4,27212.5,0.08783128,|,2023-06-04 18:42:00,0.0,0.19999999999708962
1685875260000,27214.6,27214.7,27212.4,27212.5,0.22930837,|,2023-06-04 18:41:00,-2.099999999998545,2.2999999999992724
1685875200000,27212.5,27214.7,27212.4,27214.7,0.13831784,|,2023-06-04 18:40:00,2.2000000000007276,2.2999999999992724
1685875140000,27213.1,27213.1,27212.2,27212.5,0.10961984,|,2023-06-04 18:39:00,-0.5999999999985448,0.8999999999978172
1685875080000,27213.1,27214.9,27212.8,27213.0,2.20266581,|,2023-06-04 18:38:00,-0.09999999999854481,2.100000000002183
1685875020000,27219.0,27219.6,27213.0,27213.0,0.41884925,|,2023-06-04 18:37:00,-6.0,6.599999999998545
1685874960000,27217.1,27219.0,27217.0,27219.0,0.04621679,|,2023-06-04 18:36:00,1.9000000000014552,2.0
1685874900000,27221.2,27223.0,27217.0,27217.0,0.37970852,|,2023-06-04 18:35:00,-4.200000000000728,6.0
1685874840000,27207.2,27221.1,27207.1,27221.1,1.8814513,|,2023-06-04 18:34:00,13.899999999997817,14.0
1685874780000,27207.7,27208.7,27206.4,27207.7,0.14657087,|,2023-06-04 18:33:00,0.0,2.2999999999992724
1685874720000,27212.3,27212.3,27207.6,27207.7,0.68551369,|,2023-06-04 18:32:00,-4.599999999998545,4.700000000000728
1685874660000,27210.8,27212.4,27210.8,27212.3,0.06410189,|,2023-06-04 18:31:00,1.5,1.6000000000021828
1685874600000,27222.9,27223.0,27210.8,27210.8,0.37990236,|,2023-06-04 18:30:00,-12.100000000002183,12.200000000000728
1685874540000,27218.9,27226.7,27218.9,27222.9,1.001111,|,2023-06-04 18:29:00,4.0,7.799999999999272
1685874480000,27219.9,27226.7,27218.9,27218.9,10.73664364,|,2023-06-04 18:28:00,-1.0,7.799999999999272
1685874420000,27214.4,27219.9,27213.9,27219.8,0.94790056,|,2023-06-04 18:27:00,5.399999999997817,6.0
1685874360000,27213.8,27214.5,27211.7,27214.3,0.74911663,|,2023-06-04 18:26:00,0.5,2.7999999999992724
